,season,team,name,role,age,batting,bowling
66,2017/2018,Peshawar Zalmi,Liam Dawson,Allrounder,27y 356d,Right hand Bat,Slow Left arm Orthodox
67,2017/2018,Peshawar Zalmi,Andre Fletcher,Top order Batter,30y 84d,Right hand Bat,"Right arm Medium fast, Legbreak"
68,2017/2018,Peshawar Zalmi,Hammad Azam,Middle order Batter,26y 341d,Right hand Bat,Right arm Medium
69,2017/2018,Peshawar Zalmi,Haris Sohail,Middle order Batter,29y 42d,Left hand Bat,Slow Left arm Orthodox
70,2017/2018,Peshawar Zalmi,Hasan Ali,Bowler,23y 233d,Right hand Bat,Right arm Medium fast
71,2017/2018,Peshawar Zalmi,Ibtisam Sheikh,Bowler,19y 341d,Left hand Bat,Legbreak Googly
72,2017/2018,Peshawar Zalmi,Chris Jordan,Bowler,29y 139d,Right hand Bat,Right arm Fast medium
73,2017/2018,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,36y 38d,Right hand Bat,
74,2017/2018,Peshawar Zalmi,Khalid Usman,Bowling Allrounder,31y 356d,Right hand Bat,Slow Left arm Orthodox
75,2017/2018,Peshawar Zalmi,Khushdil Shah,Middle order Batter,23y 13d,Left hand Bat,Slow Left arm Orthodox
76,2017/2018,Peshawar Zalmi,Li Jian,,25y 232d,Right hand Bat,Right arm Medium fast
77,2017/2018,Peshawar Zalmi,Mohammad Arif,Opening Batter,24y 49d,Right hand Bat,
78,2017/2018,Peshawar Zalmi,Mohammad Asghar,Bowler,19y 54d,Right hand Bat,Slow Left arm Orthodox
79,2017/2018,Peshawar Zalmi,Mohammad Hafeez,Allrounder,37y 126d,Right hand Bat,Right arm Offbreak
80,2017/2018,Peshawar Zalmi,Saad Nasim,Allrounder,27y 297d,Right hand Bat,Legbreak
81,2017/2018,Peshawar Zalmi,Sabbir Rahman,Middle order Batter,26y 90d,Right hand Bat,Legbreak
82,2017/2018,Peshawar Zalmi,Sameen Gul,Bowler,19y 16d,Right hand Bat,Right arm Medium
83,2017/2018,Peshawar Zalmi,Dwayne Smith,Allrounder,34y 314d,Right hand Bat,Right arm Medium
84,2017/2018,Peshawar Zalmi,Taimoor Sultan,Opening Batter,23y 78d,Right hand Bat,
85,2017/2018,Peshawar Zalmi,Tamim Iqbal,Opening Batter,28y 337d,Left hand Bat,
86,2017/2018,Peshawar Zalmi,Umaid Asif,Bowling Allrounder,33y 296d,Right hand Bat,Right arm Medium fast
87,2017/2018,Peshawar Zalmi,Wahab Riaz,Bowler,32y 237d,Right hand Bat,Left arm Fast
88,2017/2018,Peshawar Zalmi,Riki Wessels,Middle order Batter,32y 100d,Right hand Bat,
89,2017/2018,Peshawar Zalmi,Zhang Yufei,Allrounder,26y 34d,Right hand Bat,Right arm Medium fast
90,2017/2018,Peshawar Zalmi,Shakib Al Hasan,Allrounder,30y 333d,Left hand Bat,Slow Left arm Orthodox
91,2017/2018,Quetta Gladiators,Sarfaraz Ahmed(c),Wicketkeeper Batter,30y 274d,Right hand Bat,Right arm Offbreak
92,2017/2018,Quetta Gladiators,Anwar Ali,Bowler,30y 87d,Right hand Bat,Right arm Medium fast
93,2017/2018,Quetta Gladiators,Jofra Archer,Bowler,22y 325d,Right hand Bat,Right arm Fast
94,2017/2018,Quetta Gladiators,Asad Shafiq,Middle order Batter,32y 23d,Right hand Bat,Right arm Offbreak
95,2017/2018,Quetta Gladiators,Azam Khan†,Wicketkeeper,19y 194d,Right hand Bat,
96,2017/2018,Quetta Gladiators,Faraz Ahmed,Bowler,33y 149d,Right hand Bat,Right arm Medium fast
97,2017/2018,Quetta Gladiators,Hassan Khan,Bowler,19y 127d,Right hand Bat,Slow Left arm Orthodox
98,2017/2018,Quetta Gladiators,Mahmudullah,Allrounder,32y 16d,Right hand Bat,Right arm Offbreak
99,2017/2018,Quetta Gladiators,Mir Hamza,Bowler,25y 163d,Left hand Bat,Left arm Medium
100,2017/2018,Quetta Gladiators,Mohammad Nawaz,Allrounder,23y 336d,Left hand Bat,Slow Left arm Orthodox
101,2017/2018,Quetta Gladiators,Kevin Pietersen,Top order Batter,37y 238d,Right hand Bat,Right arm Offbreak
102,2017/2018,Quetta Gladiators,Rahat Ali,Bowler,29y 161d,Right hand Bat,Left arm Fast medium
103,2017/2018,Quetta Gladiators,Rashid Khan,Bowling Allrounder,19y 153d,Right hand Bat,Legbreak Googly
104,2017/2018,Quetta Gladiators,Rilee Rossouw,Top order Batter,28y 134d,Left hand Bat,Right arm Offbreak
105,2017/2018,Quetta Gladiators,Jason Roy,Opening Batter,27y 214d,Right hand Bat,
106,2017/2018,Quetta Gladiators,Syed Saad Ali,Top order Batter,24y 138d,Left hand Bat,Right arm Medium
107,2017/2018,Quetta Gladiators,Saud Shakeel,Middle order Batter,22y 168d,Left hand Bat,Left arm Slow
108,2017/2018,Quetta Gladiators,Umar Amin,Top order Batter,28y 127d,Left hand Bat,Right arm Medium
109,2017/2018,Quetta Gladiators,Shane Watson,Allrounder,36y 248d,Right hand Bat,Right arm Fast medium
110,2017/2018,Multan Sultans,Sarfaraz Ahmed(c),Wicketkeeper Batter,30y 274d,Right hand Bat,Right arm Offbreak
111,2017/2018,Multan Sultans,Anwar Ali,Bowler,30y 87d,Right hand Bat,Right arm Medium fast
112,2017/2018,Multan Sultans,Jofra Archer,Bowler,22y 325d,Right hand Bat,Right arm Fast
113,2017/2018,Multan Sultans,Asad Shafiq,Middle order Batter,32y 23d,Right hand Bat,Right arm Offbreak
114,2017/2018,Multan Sultans,Azam Khan†,Wicketkeeper,19y 194d,Right hand Bat,
115,2017/2018,Multan Sultans,Faraz Ahmed,Bowler,33y 149d,Right hand Bat,Right arm Medium fast
116,2017/2018,Multan Sultans,Hassan Khan,Bowler,19y 127d,Right hand Bat,Slow Left arm Orthodox
117,2017/2018,Multan Sultans,Mahmudullah,Allrounder,32y 16d,Right hand Bat,Right arm Offbreak
118,2017/2018,Multan Sultans,Mir Hamza,Bowler,25y 163d,Left hand Bat,Left arm Medium
119,2017/2018,Multan Sultans,Mohammad Nawaz,Allrounder,23y 336d,Left hand Bat,Slow Left arm Orthodox
120,2017/2018,Multan Sultans,Kevin Pietersen,Top order Batter,37y 238d,Right hand Bat,Right arm Offbreak
121,2017/2018,Multan Sultans,Rahat Ali,Bowler,29y 161d,Right hand Bat,Left arm Fast medium
122,2017/2018,Multan Sultans,Rashid Khan,Bowling Allrounder,19y 153d,Right hand Bat,Legbreak Googly
123,2017/2018,Multan Sultans,Rilee Rossouw,Top order Batter,28y 134d,Left hand Bat,Right arm Offbreak
124,2017/2018,Multan Sultans,Jason Roy,Opening Batter,27y 214d,Right hand Bat,
125,2017/2018,Multan Sultans,Syed Saad Ali,Top order Batter,24y 138d,Left hand Bat,Right arm Medium
126,2017/2018,Multan Sultans,Saud Shakeel,Middle order Batter,22y 168d,Left hand Bat,Left arm Slow
127,2017/2018,Multan Sultans,Umar Amin,Top order Batter,28y 127d,Left hand Bat,Right arm Medium
128,2017/2018,Multan Sultans,Shane Watson,Allrounder,36y 248d,Right hand Bat,Right arm Fast medium
0,2018/2019,Islamabad United,Mohammad Sami(c),Bowler,37y 334d,Right hand Bat,Right arm Fast
1,2018/2019,Islamabad United,Amad Butt,Bowling Allrounder,23y 259d,Right hand Bat,Right arm Fast
2,2018/2019,Islamabad United,Asif Ali,Middle order Batter,27y 115d,Right hand Bat,Right arm Offbreak
3,2018/2019,Islamabad United,Ian Bell,Top order Batter,36y 288d,Right hand Bat,Right arm Medium
4,2018/2019,Islamabad United,Cameron Delport,Top order Batter,29y 257d,Left hand Bat,Right arm Medium
5,2018/2019,Islamabad United,Faheem Ashraf,Bowling Allrounder,25y 8d,Left hand Bat,Right arm Medium
6,2018/2019,Islamabad United,Hussain Talat,Allrounder,22y 346d,Left hand Bat,Right arm Medium fast
7,2018/2019,Islamabad United,Muhammad Musa,Bowler,18y 149d,Right hand Bat,Right arm Fast medium
8,2018/2019,Islamabad United,Nasir Nawaz,,20y 111d,Right hand Bat,Right arm Medium fast
9,2018/2019,Islamabad United,Wayne Parnell,Bowler,29y 178d,Left hand Bat,Left arm Medium fast
10,2018/2019,Islamabad United,Samit Patel,Allrounder,34y 55d,Right hand Bat,Slow Left arm Orthodox
11,2018/2019,Islamabad United,Rizwan Hussain,Batter,22y 273d,Left hand Bat,
12,2018/2019,Islamabad United,Luke Ronchi†,Wicketkeeper Batter,37y 276d,Right hand Bat,
13,2018/2019,Islamabad United,Rumman Raees,Bowler,27y 98d,Right hand Bat,Left arm Medium fast
14,2018/2019,Islamabad United,Sahibzada Farhan,Middle order Batter,22y 324d,Right hand Bat,
15,2018/2019,Islamabad United,Phil Salt†,Wicketkeeper Batter,22y 149d,Right hand Bat,Right arm Offbreak
16,2018/2019,Islamabad United,Shadab Khan,Allrounder,20y 112d,Right hand Bat,Legbreak
17,2018/2019,Islamabad United,Waqas Maqsood,Bowler,31y 81d,Left hand Bat,Left arm Fast medium
18,2018/2019,Islamabad United,Zafar Gohar,Bowler,23y 357d,Left hand Bat,Slow Left arm Orthodox
19,2018/2019,Islamabad United,Zahir Khan,Bowler,20y 35d,Left hand Bat,Left arm Wrist spin
20,2018/2019,Karachi Kings,Imad Wasim(c),Allrounder,30y 37d,Left hand Bat,Slow Left arm Orthodox
21,2018/2019,Karachi Kings,Aamer Yamin,Allrounder,28y 212d,Right hand Bat,Right arm Medium
22,2018/2019,Karachi Kings,Abrar Ahmed,Bowler,20y 100d,Right hand Bat,Legbreak Googly
23,2018/2019,Karachi Kings,Ali Imran,Batting Allrounder,20y 333d,Right hand Bat,Right arm Medium
24,2018/2019,Karachi Kings,Awais Zia,Opening Batter,32y 145d,Left hand Bat,Right arm Offbreak
25,2018/2019,Karachi Kings,Babar Azam,Batter,24y 101d,Right hand Bat,Right arm Offbreak
26,2018/2019,Karachi Kings,Ravi Bopara,Batting Allrounder,33y 265d,Right hand Bat,Right arm Medium
27,2018/2019,Karachi Kings,Ben Dunk†,Wicketkeeper Batter,31y 319d,Left hand Bat,Right arm Offbreak
28,2018/2019,Karachi Kings,Iftikhar Ahmed,Middle order Batter,28y 143d,Right hand Bat,Right arm Offbreak
29,2018/2019,Karachi Kings,Colin Ingram,Top order Batter,33y 205d,Left hand Bat,Legbreak
30,2018/2019,Karachi Kings,Jaahid Ali,,23y 325d,Right hand Bat,Right arm Offbreak
31,2018/2019,Karachi Kings,Liam Livingstone,Batting Allrounder,25y 173d,Right hand Bat,Legbreak
32,2018/2019,Karachi Kings,Mohammad Amir,Bowler,26y 286d,Left hand Bat,Left arm Fast medium
33,2018/2019,Karachi Kings,Mohammad Rizwan†,Wicketkeeper Batter,26y 237d,Right hand Bat,
34,2018/2019,Karachi Kings,Colin Munro,Opening Batter,31y 319d,Left hand Bat,Right arm Medium fast
35,2018/2019,Karachi Kings,Sikandar Raza,Batting Allrounder,32y 275d,Right hand Bat,Right arm Offbreak
36,2018/2019,Karachi Kings,Sohail Khan,Bowler,34y 324d,Right hand Bat,Right arm Fast medium
37,2018/2019,Karachi Kings,Aaron Summers,,22y 245d,Right hand Bat,Right arm Fast
38,2018/2019,Karachi Kings,Umer Khan,Bowler,19y 172d,Left hand Bat,Slow Left arm Orthodox
39,2018/2019,Karachi Kings,Usama Mir,Bowler,23y 32d,Right hand Bat,Legbreak
40,2018/2019,Karachi Kings,Usman Shinwari,Bowler,25y 19d,Right hand Bat,Left arm Medium fast
41,2018/2019,Lahore Qalandars,Mohammad Hafeez(c),Allrounder,38y 99d,Right hand Bat,Right arm Offbreak
42,2018/2019,Lahore Qalandars,Agha Salman,Allrounder,25y 62d,Right hand Bat,Right arm Offbreak
43,2018/2019,Lahore Qalandars,Aizaz Cheema,Bowler,39y 141d,Right hand Bat,Right arm Medium fast
44,2018/2019,Lahore Qalandars,Corey Anderson,Batting Allrounder,28y 42d,Left hand Bat,Left arm Medium fast
45,2018/2019,Lahore Qalandars,Carlos Brathwaite,Allrounder,30y 190d,Right hand Bat,Right arm Fast medium
46,2018/2019,Lahore Qalandars,AB de Villiers†,Wicketkeeper Batter,34y 341d,Right hand Bat,Right arm Medium
47,2018/2019,Lahore Qalandars,Anton Devcich,Opening Batter,33y 118d,Left hand Bat,Slow Left arm Orthodox
48,2018/2019,Lahore Qalandars,Fakhar Zaman,Opening Batter,28y 289d,Left hand Bat,Slow Left arm Orthodox
49,2018/2019,Lahore Qalandars,Gauhar Ali,,29y 264d,Right hand Bat,
50,2018/2019,Lahore Qalandars,Haris Rauf,Bowler,25y 78d,Right hand Bat,Right arm Fast
51,2018/2019,Lahore Qalandars,Haris Sohail,Middle order Batter,30y 15d,Left hand Bat,Slow Left arm Orthodox
52,2018/2019,Lahore Qalandars,Hassan Khan,Bowler,20y 100d,Right hand Bat,Slow Left arm Orthodox
53,2018/2019,Lahore Qalandars,Sandeep Lamichhane,Bowler,18y 175d,Right hand Bat,Legbreak Googly
54,2018/2019,Lahore Qalandars,Mohammad Imran,Allrounder,22y 30d,Right hand Bat,Right arm Medium
55,2018/2019,Lahore Qalandars,Rahat Ali,Bowler,30y 134d,Right hand Bat,Left arm Fast medium
56,2018/2019,Lahore Qalandars,Syed Saad Ali,Top order Batter,25y 111d,Left hand Bat,Right arm Medium
57,2018/2019,Lahore Qalandars,Shaheen Shah Afridi,Bowler,18y 293d,Left hand Bat,Left arm Fast
58,2018/2019,Lahore Qalandars,Sohail Akhtar,Allrounder,32y 328d,Right hand Bat,Right arm Medium
59,2018/2019,Lahore Qalandars,Brendan Taylor†,Wicketkeeper Batter,32y 352d,Right hand Bat,Right arm Offbreak
60,2018/2019,Lahore Qalandars,Umair Masood,,21y 48d,Right hand Bat,
61,2018/2019,Lahore Qalandars,Hardus Viljoen,Bowler,29y 324d,Right hand Bat,Right arm Fast
62,2018/2019,Lahore Qalandars,David Wiese,Allrounder,33y 251d,Right hand Bat,Right arm Medium fast
63,2018/2019,Lahore Qalandars,Yasir Shah,Bowler,32y 267d,Right hand Bat,Legbreak Googly
64,2018/2019,Peshawar Zalmi,Daren Sammy(c),Allrounder,35y 35d,Right hand Bat,Right arm Medium
65,2018/2019,Peshawar Zalmi,Liam Dawson,Allrounder,28y 329d,Right hand Bat,Slow Left arm Orthodox
66,2018/2019,Peshawar Zalmi,Andre Fletcher,Top order Batter,31y 57d,Right hand Bat,"Right arm Medium fast, Legbreak"
67,2018/2019,Peshawar Zalmi,Hasan Ali,Bowler,24y 206d,Right hand Bat,Right arm Medium fast
68,2018/2019,Peshawar Zalmi,Ibtisam Sheikh,Bowler,20y 314d,Left hand Bat,Legbreak Googly
69,2018/2019,Peshawar Zalmi,Jamal Anwar,,28y 24d,Right hand Bat,
70,2018/2019,Peshawar Zalmi,Chris Jordan,Bowler,30y 112d,Right hand Bat,Right arm Fast medium
71,2018/2019,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,37y 11d,Right hand Bat,
72,2018/2019,Peshawar Zalmi,Khalid Usman,Bowling Allrounder,32y 329d,Right hand Bat,Slow Left arm Orthodox
73,2018/2019,Peshawar Zalmi,Wayne Madsen,Batter,35y 22d,Right hand Bat,Right arm Offbreak
74,2018/2019,Peshawar Zalmi,Dawid Malan,Top order Batter,31y 143d,Left hand Bat,Legbreak
75,2018/2019,Peshawar Zalmi,Misbah-ul-Haq,Middle order Batter,44y 241d,Right hand Bat,Legbreak
76,2018/2019,Peshawar Zalmi,Nabi Gul,,21y 111d,Right hand Bat,
77,2018/2019,Peshawar Zalmi,Kieron Pollard,Batting Allrounder,31y 257d,Right hand Bat,Right arm Medium
78,2018/2019,Peshawar Zalmi,Sameen Gul,Bowler,19y 354d,Right hand Bat,Right arm Medium
79,2018/2019,Peshawar Zalmi,Sohaib Maqsood,Middle order Batter,31y 284d,Right hand Bat,Right arm Offbreak
80,2018/2019,Peshawar Zalmi,Umaid Asif,Bowling Allrounder,34y 269d,Right hand Bat,Right arm Medium fast
81,2018/2019,Peshawar Zalmi,Umar Amin,Top order Batter,29y 100d,Left hand Bat,Right arm Medium
82,2018/2019,Peshawar Zalmi,Wahab Riaz,Bowler,33y 210d,Right hand Bat,Left arm Fast
83,2018/2019,Peshawar Zalmi,Waqar Salamkheil,Bowler,17y 114d,Right hand Bat,Left arm Wrist spin
84,2018/2019,Quetta Gladiators,Sarfaraz Ahmed(c),Wicketkeeper Batter,31y 247d,Right hand Bat,Right arm Offbreak
85,2018/2019,Quetta Gladiators,Ahmed Shehzad,Opening Batter,27y 62d,Right hand Bat,Legbreak
86,2018/2019,Quetta Gladiators,Ahsan Ali,Top order Batter,25y 45d,Right hand Bat,Legbreak
87,2018/2019,Quetta Gladiators,Anwar Ali,Bowler,31y 60d,Right hand Bat,Right arm Medium fast
88,2018/2019,Quetta Gladiators,Azam Khan†,Wicketkeeper,20y 167d,Right hand Bat,
89,2018/2019,Quetta Gladiators,Dwayne Bravo,Allrounder,35y 109d,Right hand Bat,Right arm Medium
90,2018/2019,Quetta Gladiators,Danish Aziz,Allrounder,23y 65d,Left hand Bat,Slow Left arm Orthodox
91,2018/2019,Quetta Gladiators,Fawad Ahmed,Bowler,36y 353d,Right hand Bat,Legbreak Googly
92,2018/2019,Quetta Gladiators,Ghulam Mudassar,Bowler,19y 92d,Right hand Bat,Left arm Fast medium
93,2018/2019,Quetta Gladiators,Harry Gurney,Bowler,32y 91d,Right hand Bat,Left arm Fast medium
94,2018/2019,Quetta Gladiators,Jalat Khan,,32y 355d,Left hand Bat,Slow Left arm Orthodox
95,2018/2019,Quetta Gladiators,Mohammad Asghar,Bowler,20y 27d,Right hand Bat,Slow Left arm Orthodox
96,2018/2019,Quetta Gladiators,Mohammad Hasnain,Bowler,18y 294d,Right hand Bat,Right arm Fast
97,2018/2019,Quetta Gladiators,Mohammad Irfan,Bowler,23y 254d,Right hand Bat,Right arm Medium
98,2018/2019,Quetta Gladiators,Mohammad Nawaz,Allrounder,24y 309d,Left hand Bat,Slow Left arm Orthodox
99,2018/2019,Quetta Gladiators,Sunil Narine,Bowling Allrounder,30y 243d,Left hand Bat,Right arm Offbreak
100,2018/2019,Quetta Gladiators,Rilee Rossouw,Top order Batter,29y 107d,Left hand Bat,Right arm Offbreak
101,2018/2019,Quetta Gladiators,Saud Shakeel,Middle order Batter,23y 141d,Left hand Bat,Left arm Slow
102,2018/2019,Quetta Gladiators,Dwayne Smith,Allrounder,35y 287d,Right hand Bat,Right arm Medium
103,2018/2019,Quetta Gladiators,Sohail Tanvir,Bowler,34y 43d,Left hand Bat,Left arm Medium fast
104,2018/2019,Quetta Gladiators,Umar Akmal,Middle order Batter,28y 243d,Right hand Bat,Right arm Offbreak
105,2018/2019,Quetta Gladiators,Shane Watson,Allrounder,37y 221d,Right hand Bat,Right arm Fast medium
106,2018/2019,Quetta Gladiators,Naseem Shah,Bowler,15y 343d,Right hand Bat,Right arm Fast
107,2018/2019,Multan Sultans,Shoaib Malik(c),Allrounder,36y 357d,Right hand Bat,Right arm Offbreak
108,2018/2019,Multan Sultans,Ali Shafique,Bowler,22y 69d,Right hand Bat,Right arm Medium
109,2018/2019,Multan Sultans,Johnson Charles†,Wicketkeeper Batter,30y 10d,Right hand Bat,
110,2018/2019,Multan Sultans,Dan Christian,Allrounder,35y 265d,Right hand Bat,Right arm Fast medium
111,2018/2019,Multan Sultans,Joe Denly,Top order Batter,32y 314d,Right hand Bat,Legbreak
112,2018/2019,Multan Sultans,Laurie Evans,Batter,31y 104d,Right hand Bat,Right arm Offbreak
113,2018/2019,Multan Sultans,Chris Green,Bowling Allrounder,25y 115d,Right hand Bat,Right arm Offbreak
114,2018/2019,Multan Sultans,Hammad Azam,Middle order Batter,27y 314d,Right hand Bat,Right arm Medium
115,2018/2019,Multan Sultans,Junaid Khan,Bowler,29y 31d,Right hand Bat,Left arm Fast
116,2018/2019,Multan Sultans,Mohammad Abbas,Bowler,28y 320d,Right hand Bat,Right arm Medium fast
117,2018/2019,Multan Sultans,Mohammad Ilyas,Opening Batter,22y 213d,Left hand Bat,Right arm Offbreak
118,2018/2019,Multan Sultans,Mohammad Irfan,Bowler,36y 232d,Right hand Bat,Left arm Fast
119,2018/2019,Multan Sultans,Mohammad Irfan,Bowler,29y 176d,Right hand Bat,Legbreak Googly
120,2018/2019,Multan Sultans,Mohammad Junaid,,16y 309d,Left hand Bat,Slow Left arm Orthodox
121,2018/2019,Multan Sultans,Tom Moores†,Wicketkeeper Batter,22y 142d,Left hand Bat,
122,2018/2019,Multan Sultans,Nauman Ali,Bowler,32y 109d,Left hand Bat,Slow Left arm Orthodox
123,2018/2019,Multan Sultans,Qais Ahmad,Bowler,18y 162d,Right hand Bat,Legbreak
124,2018/2019,Multan Sultans,Andre Russell,Allrounder,30y 270d,Right hand Bat,Right arm Fast
125,2018/2019,Multan Sultans,Shahid Afridi,Allrounder,38y 329d,Right hand Bat,Legbreak Googly
126,2018/2019,Multan Sultans,Shakeel Ansar†,Wicketkeeper Batter,40y 74d,Right hand Bat,
127,2018/2019,Multan Sultans,Shan Masood,Opening Batter,29y 102d,Left hand Bat,Right arm Medium fast
128,2018/2019,Multan Sultans,Umar Siddiq,Opening Batter,26y 25d,Left hand Bat,Right arm Offbreak
129,2018/2019,Multan Sultans,James Vince,Batter,27y 316d,Right hand Bat,Right arm Medium
130,2018/2019,Multan Sultans,Nicholas Pooran†,Wicketkeeper Batter,23y 114d,Left hand Bat,Right arm Offbreak
131,2018/2019,Multan Sultans,Steven Smith,Middle order Batter,29y 236d,Right hand Bat,Legbreak Googly
0,2019/2020,Islamabad United,Shadab Khan(c),Allrounder,21y 63d,Right hand Bat,Legbreak
1,2019/2020,Islamabad United,Ahmed Safi Abdullah,Bowling Allrounder,21y 280d,Left hand Bat,Slow Left arm Orthodox
2,2019/2020,Islamabad United,Akif Javed,Bowler,19y 57d,Right hand Bat,Left arm Medium fast
3,2019/2020,Islamabad United,Amad Butt,Bowling Allrounder,24y 210d,Right hand Bat,Right arm Fast
4,2019/2020,Islamabad United,Asif Ali,Middle order Batter,28y 66d,Right hand Bat,Right arm Offbreak
5,2019/2020,Islamabad United,Faheem Ashraf,Bowling Allrounder,25y 324d,Left hand Bat,Right arm Medium
6,2019/2020,Islamabad United,Hussain Talat,Allrounder,23y 297d,Left hand Bat,Right arm Medium fast
7,2019/2020,Islamabad United,Colin Ingram,Top order Batter,34y 156d,Left hand Bat,Legbreak
8,2019/2020,Islamabad United,Dawid Malan,Top order Batter,32y 94d,Left hand Bat,Legbreak
9,2019/2020,Islamabad United,Muhammad Musa,Bowler,19y 100d,Right hand Bat,Right arm Fast medium
10,2019/2020,Islamabad United,Colin Munro,Opening Batter,32y 270d,Left hand Bat,Right arm Medium fast
11,2019/2020,Islamabad United,Rizwan Hussain,Batter,23y 224d,Left hand Bat,
12,2019/2020,Islamabad United,Luke Ronchi†,Wicketkeeper Batter,38y 227d,Right hand Bat,
13,2019/2020,Islamabad United,Rumman Raees,Bowler,28y 49d,Right hand Bat,Left arm Medium fast
14,2019/2020,Islamabad United,Saif Badar,Middle order Batter,21y 156d,Right hand Bat,Legbreak Googly
15,2019/2020,Islamabad United,Phil Salt†,Wicketkeeper Batter,23y 100d,Right hand Bat,Right arm Offbreak
16,2019/2020,Islamabad United,Dale Steyn,Bowler,36y 162d,Right hand Bat,Right arm Fast
17,2019/2020,Islamabad United,Zafar Gohar,Bowler,24y 308d,Left hand Bat,Slow Left arm Orthodox
18,2019/2020,Islamabad United,Rassie van der Dussen,Top order Batter,30y 302d,Right hand Bat,Legbreak
19,2019/2020,Karachi Kings,Imad Wasim(c),Allrounder,30y 353d,Left hand Bat,Slow Left arm Orthodox
20,2019/2020,Karachi Kings,Aamer Yamin,Allrounder,29y 163d,Right hand Bat,Right arm Medium
21,2019/2020,Karachi Kings,Ali Khan,Bowler,28y 358d,Right hand Bat,Right arm Fast medium
22,2019/2020,Karachi Kings,Arshad Iqbal,Bowler,18y 345d,Right hand Bat,Right arm Medium fast
23,2019/2020,Karachi Kings,Awais Zia,Opening Batter,33y 96d,Left hand Bat,Right arm Offbreak
24,2019/2020,Karachi Kings,Babar Azam,Batter,25y 52d,Right hand Bat,Right arm Offbreak
25,2019/2020,Karachi Kings,Cameron Delport,Top order Batter,30y 208d,Left hand Bat,Right arm Medium
26,2019/2020,Karachi Kings,Alex Hales,Opening Batter,30y 337d,Right hand Bat,Right arm Medium
27,2019/2020,Karachi Kings,Iftikhar Ahmed,Middle order Batter,29y 94d,Right hand Bat,Right arm Offbreak
28,2019/2020,Karachi Kings,Chris Jordan,Bowler,31y 63d,Right hand Bat,Right arm Fast medium
29,2019/2020,Karachi Kings,Mohammad Amir,Bowler,27y 237d,Left hand Bat,Left arm Fast medium
30,2019/2020,Karachi Kings,Mohammad Rizwan†,Wicketkeeper Batter,27y 188d,Right hand Bat,
31,2019/2020,Karachi Kings,Wayne Parnell,Bowler,30y 129d,Left hand Bat,Left arm Medium fast
32,2019/2020,Karachi Kings,Sherfane Rutherford,Middle order Batter,21y 113d,Left hand Bat,Right arm Fast medium
33,2019/2020,Karachi Kings,Sharjeel Khan,Opening Batter,30y 114d,Left hand Bat,Legbreak
34,2019/2020,Karachi Kings,Umaid Asif,Bowling Allrounder,35y 220d,Right hand Bat,Right arm Medium fast
35,2019/2020,Karachi Kings,Umer Khan,Bowler,20y 123d,Left hand Bat,Slow Left arm Orthodox
36,2019/2020,Karachi Kings,Usama Mir,Bowler,23y 348d,Right hand Bat,Legbreak
37,2019/2020,Karachi Kings,Chadwick Walton,Top order Batter,34y 156d,Right hand Bat,
38,2019/2020,Karachi Kings,Dan Lawrence,Middle order Batter,22y 147d,Right hand Bat,Right arm Offbreak
39,2019/2020,Karachi Kings,Mitchell McClenaghan,Bowler,33y 178d,Left hand Bat,Left arm Fast medium
40,2019/2020,Karachi Kings,Liam Plunkett,Bowler,34y 244d,Right hand Bat,Right arm Fast
41,2019/2020,Lahore Qalandars,Sohail Akhtar(c),Allrounder,33y 279d,Right hand Bat,Right arm Medium
42,2019/2020,Lahore Qalandars,Dilbar Hussain,Bowler,26y 289d,Right hand Bat,Right arm Fast medium
43,2019/2020,Lahore Qalandars,Ben Dunk†,Wicketkeeper Batter,32y 270d,Left hand Bat,Right arm Offbreak
44,2019/2020,Lahore Qalandars,Fakhar Zaman,Opening Batter,29y 240d,Left hand Bat,Slow Left arm Orthodox
45,2019/2020,Lahore Qalandars,Haris Rauf,Bowler,26y 29d,Right hand Bat,Right arm Fast
46,2019/2020,Lahore Qalandars,Jaahid Ali,,24y 276d,Right hand Bat,Right arm Offbreak
47,2019/2020,Lahore Qalandars,Chris Lynn,Batter,29y 240d,Right hand Bat,Slow Left arm Orthodox
48,2019/2020,Lahore Qalandars,Mohammad Hafeez,Allrounder,39y 50d,Right hand Bat,Right arm Offbreak
49,2019/2020,Lahore Qalandars,Muhammad Faizan,Batter,22y 213d,Right hand Bat,Right arm Medium fast
50,2019/2020,Lahore Qalandars,Samit Patel,Allrounder,35y 6d,Right hand Bat,Slow Left arm Orthodox
51,2019/2020,Lahore Qalandars,Seekkuge Prasanna,Allrounder,34y 162d,Right hand Bat,Legbreak
52,2019/2020,Lahore Qalandars,Raja Farzan,Bowler,24y 208d,Left hand Bat,Legbreak Googly
53,2019/2020,Lahore Qalandars,Salman Butt,Batter,35y 60d,Left hand Bat,Right arm Offbreak
54,2019/2020,Lahore Qalandars,Shaheen Shah Afridi,Bowler,19y 244d,Left hand Bat,Left arm Fast
55,2019/2020,Lahore Qalandars,Tamim Iqbal,Opening Batter,30y 261d,Left hand Bat,
56,2019/2020,Lahore Qalandars,Usman Shinwari,Bowler,25y 335d,Right hand Bat,Left arm Medium fast
57,2019/2020,Lahore Qalandars,Dane Vilas†,Wicketkeeper Batter,34y 179d,Right hand Bat,
