,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
100,Usama Mir,2,2,5,0,63,0,-,-,12.6,-,0,0,0,0,2017/2018,Karachi Kings
101,Sharjeel Khan,10,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Karachi Kings
101,Shan Masood,7,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Multan Sultans
101,Usama Mir,3,3,8,0,71,0,-,-,8.87,-,0,0,3,0,2019/2020,Karachi Kings
101,AW Summers,2,2,8,0,62,0,-,-,7.75,-,0,0,1,0,2018/2019,Karachi Kings
101,Usman Shinwari,10,9,32.1,0,258,16,17-Apr,16.12,8.02,12,1,0,2,0,2017/2018,Karachi Kings
102,Shoaib Malik,11,7,11,0,72,3,2-Jan,24,6.54,22,0,0,5,0,2021/2022,Peshawar Zalmi
102,Sharjeel Khan,11,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Karachi Kings
102,Usman Qadir,1,1,4,0,24,1,24-Jan,24,6,24,0,0,0,0,2019/2020,Multan Sultans
102,BRM Taylor,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Lahore Qalandars
102,GC Viljoen,2,2,8,0,73,3,Feb-49,24.33,9.12,16,0,0,2,0,2017/2018,Multan Sultans
103,WCF Smeed,6,-,-,-,-,-,-,-,-,-,-,-,4,0,2021/2022,Quetta Gladiators
103,Shoaib Malik,13,5,9,0,71,1,14-Jan,71,7.88,54,0,0,6,0,2020/2021,Peshawar Zalmi
103,Usman Shinwari,4,4,12.5,0,147,0,-,-,11.45,-,0,0,0,0,2019/2020,Lahore Qalandars
103,RN ten Doeschate,1,1,1.4,0,9,1,9-Jan,9,5.4,10,0,0,0,0,2018/2019,Lahore Qalandars
103,Wahab Riaz,13,13,49.5,0,344,18,30-Mar,19.11,6.9,16.6,0,0,4,0,2017/2018,Peshawar Zalmi
104,Sohaib Maqsood,7,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Multan Sultans
104,Sohaibullah,1,1,3,0,26,0,-,-,8.66,-,0,0,0,0,2020/2021,Multan Sultans
104,DJ Vilas,5,-,-,-,-,-,-,-,-,-,-,-,4,1,2019/2020,Lahore Qalandars
104,Umaid Asif,8,8,30,0,264,7,23-Jan,37.71,8.8,25.7,0,0,1,0,2018/2019,Peshawar Zalmi
104,CAK Walton,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Islamabad United
105,Sohail Akhtar,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Lahore Qalandars
105,Sohaib Maqsood,12,-,-,-,-,-,-,-,-,-,-,-,3,0,2020/2021,Multan Sultans
105,GC Viljoen,1,1,2,0,23,0,-,-,11.5,-,0,0,1,0,2019/2020,Peshawar Zalmi
105,Umair Masood,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Lahore Qalandars
105,SR Watson,10,10,36,0,276,11,22-Mar,25.09,7.66,19.6,0,0,2,0,2017/2018,Quetta Gladiators
106,Sohail Khan,2,2,7,0,96,0,-,-,13.71,-,0,0,0,0,2021/2022,Peshawar Zalmi
106,Sohail Akhtar,10,-,-,-,-,-,-,-,-,-,-,-,5,0,2020/2021,Lahore Qalandars
106,JM Vince,5,-,-,-,-,-,-,-,-,-,-,-,6,0,2019/2020,Multan Sultans
106,Umar Akmal,12,-,-,-,-,-,-,-,-,-,-,-,4,0,2018/2019,Quetta Gladiators
106,MH Wessels,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Peshawar Zalmi
107,Sohail Tanvir,7,7,26,0,258,2,Feb-29,129,9.92,78,0,0,2,0,2021/2022,Quetta Gladiators
107,Sohail Khan,5,5,19.5,0,174,2,Jan-33,87,8.77,59.5,0,0,0,0,2020/2021,Multan Sultans
107,Wahab Riaz,10,10,35.5,0,292,11,21-Mar,26.54,8.14,19.5,0,0,2,0,2019/2020,Peshawar Zalmi
107,Umar Amin,11,-,-,-,-,-,-,-,-,-,-,-,4,0,2018/2019,Peshawar Zalmi
107,RA Whiteley,3,1,3,0,45,0,-,-,15,-,0,0,1,0,2017/2018,Multan Sultans
108,PR Stirling,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Islamabad United
108,Sohail Tanvir,8,8,29,0,240,5,17-Mar,48,8.27,34.8,0,0,3,0,2020/2021,Multan Sultans
108,CAK Walton,12,-,-,-,-,-,-,-,-,-,-,-,10,0,2019/2020,Karachi Kings
108,Umar Siddiq,7,-,-,-,-,-,-,-,-,-,-,-,4,1,2018/2019,Multan Sultans
108,D Wiese,1,1,3,0,33,0,-,-,11,-,0,0,0,0,2017/2018,Karachi Kings
109,JA Thompson,2,1,2,0,22,1,22-Jan,22,11,12,0,0,0,0,2021/2022,Karachi Kings
109,DW Steyn,3,3,10.4,0,98,4,Feb-44,24.5,9.18,16,0,0,0,0,2020/2021,Quetta Gladiators
109,Waqas Maqsood,3,3,12,0,63,6,18-Feb,10.5,5.25,12,0,0,1,0,2019/2020,Karachi Kings
109,Umer Khan,11,10,34,0,242,15,22-Mar,16.13,7.11,13.6,0,0,3,0,2018/2019,Karachi Kings
109,Yasir Shah,10,10,38,0,275,11,20-Mar,25,7.23,20.7,0,0,0,0,2017/2018,Lahore Qalandars
110,Umaid Asif,8,8,29.3,0,254,8,Mar-36,31.75,8.61,22.1,0,0,1,0,2021/2022,Karachi Kings
110,PR Stirling,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Islamabad United
110,SR Watson,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2019/2020,Quetta Gladiators
110,Usman Shinwari,9,9,31,0,302,13,15-Apr,23.23,9.74,14.3,1,0,1,0,2018/2019,Karachi Kings
110,Zafar Gohar,2,2,7,0,46,3,25-Mar,15.33,6.57,14,0,0,0,0,2017/2018,Islamabad United
111,Umar Akmal,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
111,Umaid Asif,9,9,31.3,0,306,8,17-Feb,38.25,9.71,23.6,0,0,4,0,2020/2021,Peshawar Zalmi
111,D Wiese,11,10,30,0,252,12,27-Mar,21,8.4,15,0,0,6,0,2019/2020,Lahore Qalandars
111,GC Viljoen,2,2,5,0,43,1,30-Jan,43,8.6,30,0,0,1,0,2018/2019,Lahore Qalandars
112,Usman Qadir,7,7,23,0,233,8,25-Mar,29.12,10.13,17.2,0,0,0,0,2021/2022,Peshawar Zalmi
