,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
19,J Charles,5,5,0,117,47,23.40,71,164.78,0,0,1,11,5,2020/2021,Multan Sultans
20,DT Christian,5,3,2,55,27,55.00,28,196.42,0,0,0,9,1,2020/2021,Karachi Kings
21,JM Clarke,5,4,0,121,54,30.25,69,175.36,0,1,0,14,7,2020/2021,Karachi Kings
22,BCJ Cutting,5,5,0,49,23,9.80,45,108.88,0,0,1,5,1,2020/2021,Quetta Gladiators
23,Danish Aziz,3,3,1,74,45,37.00,35,211.42,0,0,0,3,7,2020/2021,Karachi Kings
24,TH David,6,6,2,180,64*,45.00,108,166.66,0,1,0,11,12,2020/2021,Lahore Qalandars
25,CS Delport,5,5,0,13,10,2.60,22,59.09,0,0,2,1,0,2020/2021,Quetta Gladiators
26,JL Denly,2,2,0,31,31,15.50,30,103.33,0,0,1,2,2,2020/2021,Lahore Qalandars
27,BR Dunk,10,9,1,163,57*,20.37,127,128.34,0,1,0,13,7,2020/2021,Lahore Qalandars
28,F du Plessis,5,4,0,76,37,19.00,62,122.58,0,0,0,8,1,2020/2021,Quetta Gladiators
29,Faheem Ashraf,8,6,0,77,27,12.83,63,122.22,0,0,1,6,4,2020/2021,Islamabad United
30,Fakhar Zaman,10,10,1,287,83,31.88,237,121.09,0,2,0,26,11,2020/2021,Lahore Qalandars
31,JP Faulkner,6,5,1,90,33,22.50,53,169.81,0,0,0,4,7,2020/2021,Lahore Qalandars
32,Fawad Ahmed,5,2,2,4,4*,-,6,66.66,0,0,0,0,0,2020/2021,Islamabad United
33,CH Gayle,2,2,0,107,68,53.50,64,167.18,0,1,0,9,7,2020/2021,Quetta Gladiators
34,L Gregory,2,1,1,49,49*,-,31,158.06,0,0,0,6,1,2020/2021,Islamabad United
35,MJ Guptill,6,6,0,69,43,11.50,66,104.54,0,0,1,6,3,2020/2021,Karachi Kings
36,Haider Ali,9,9,1,166,50,20.75,121,137.19,0,1,2,16,8,2020/2021,Peshawar Zalmi
37,AD Hales,4,4,0,139,46,34.75,81,171.60,0,0,0,20,4,2020/2021,Islamabad United
38,Hammad Azam,1,1,0,9,9,9.00,16,56.25,0,0,0,0,0,2020/2021,Multan Sultans
39,Haris Rauf,9,3,0,37,19,12.33,20,185.00,0,0,0,2,3,2020/2021,Lahore Qalandars
40,Hasan Ali,10,4,0,76,45,19.00,40,190.00,0,0,0,7,4,2020/2021,Islamabad United
41,Hassan Khan,3,3,1,36,24,18.00,32,112.50,0,0,1,4,0,2020/2021,Quetta Gladiators
42,Hazratullah Zazai,5,5,0,212,77,42.40,114,185.96,0,3,1,24,14,2020/2021,Peshawar Zalmi
43,SO Hetmyer,2,1,0,7,7,7.00,9,77.77,0,0,0,0,0,2020/2021,Multan Sultans
44,Hussain Talat,11,8,1,156,42,22.28,151,103.31,0,0,0,13,1,2020/2021,Islamabad United
45,Iftikhar Ahmed,12,9,3,221,71*,36.83,179,123.46,0,1,0,16,9,2020/2021,Islamabad United
46,Imad Wasim,11,6,1,68,30*,13.60,65,104.61,0,0,2,5,2,2020/2021,Karachi Kings
47,Imam-ul-Haq,6,6,0,107,48,17.83,98,109.18,0,0,2,10,1,2020/2021,Peshawar Zalmi
48,Imran Khan,7,2,2,3,3*,-,4,75.00,0,0,0,0,0,2020/2021,Multan Sultans
49,Imran Tahir,7,2,0,18,14,9.00,10,180.00,0,0,0,2,1,2020/2021,Multan Sultans
50,CA Ingram,5,4,1,26,17*,8.66,39,66.66,0,0,1,2,0,2020/2021,Karachi Kings
51,Kamran Akmal,13,13,0,283,59,21.76,219,129.22,0,2,0,39,7,2020/2021,Peshawar Zalmi
52,Khalid Usman,1,1,0,17,17,17.00,14,121.42,0,0,0,1,1,2020/2021,Peshawar Zalmi
53,UT Khawaja,7,7,2,246,105*,49.20,161,152.79,1,1,1,31,5,2020/2021,Islamabad United
54,Khurram Shahzad,5,3,0,12,11,4.00,27,44.44,0,0,1,0,0,2020/2021,Quetta Gladiators
55,Khushdil Shah,11,9,5,165,44*,41.25,120,137.50,0,0,0,7,10,2020/2021,Multan Sultans
56,BA King,3,3,1,69,46*,34.50,45,153.33,0,0,0,7,4,2020/2021,Islamabad United
57,T Kohler-Cadmore,4,4,0,113,53,28.25,93,121.50,0,1,0,11,4,2020/2021,Peshawar Zalmi
58,CA Lynn,4,4,0,34,32,8.50,25,136.00,0,0,1,6,1,2020/2021,Multan Sultans
59,S Mahmood,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2020/2021,Peshawar Zalmi
