,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
56,Rumman Raees,8,2,1,6,4*,6.00,10,60.00,0,0,0,0,0,2015/2016,Islamabad United
57,AD Russell,10,9,2,84,35*,12.00,72,116.66,0,0,0,7,5,2015/2016,Islamabad United
58,Saeed Ajmal,6,3,2,20,10*,20.00,16,125.00,0,0,0,1,1,2015/2016,Islamabad United
59,Saifullah Bangash,5,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,2015/2016,Karachi Kings
60,DJG Sammy,10,7,2,140,48,28.00,92,152.17,0,0,0,10,10,2015/2016,Peshawar Zalmi
61,KC Sangakkara,4,4,0,129,55,32.25,89,144.94,0,1,1,17,2,2015/2016,Quetta Gladiators
62,Sarfraz Ahmed,10,9,3,168,51*,28.00,146,115.06,0,1,1,14,2,2015/2016,Quetta Gladiators
63,Shahid Afridi,10,7,1,87,38,14.50,55,158.18,0,0,1,5,6,2015/2016,Peshawar Zalmi
64,Shahid Yousuf,9,6,1,99,27*,19.80,97,102.06,0,0,0,9,1,2015/2016,Peshawar Zalmi
65,Shahzaib Hasan,2,2,0,45,27,22.50,36,125.00,0,0,0,4,2,2015/2016,Karachi Kings
66,Shakib Al Hasan,8,8,1,126,51,18.00,120,105.00,0,1,0,6,3,2015/2016,Karachi Kings
67,Sharjeel Khan,11,11,1,299,117,29.90,201,148.75,1,1,0,27,19,2015/2016,Islamabad United
68,Shoaib Malik,9,9,2,157,45,22.42,142,110.56,0,0,1,9,7,2015/2016,Karachi Kings
69,LMP Simmons,6,6,1,151,62*,30.20,135,111.85,0,1,0,18,6,2015/2016,Karachi Kings
70,DR Smith,4,4,1,153,73,51.00,143,106.99,0,2,0,16,5,2015/2016,Islamabad United
71,Sohaib Maqsood,2,2,0,79,57,39.50,71,111.26,0,1,0,5,3,2015/2016,Lahore Qalandars
72,Sohail Khan,5,3,1,21,7*,10.50,20,105.00,0,0,0,1,1,2015/2016,Karachi Kings
73,Sohail Tanvir,6,4,1,33,23,11.00,29,113.79,0,0,0,3,2,2015/2016,Karachi Kings
74,SW Tait,9,2,2,0,0*,-,0,-,0,0,0,0,0,2015/2016,Peshawar Zalmi
75,Tamim Iqbal,6,6,2,267,80*,66.75,232,115.08,0,3,0,24,5,2015/2016,Peshawar Zalmi
76,RN ten Doeschate,1,1,0,16,16,16.00,23,69.56,0,0,0,0,0,2015/2016,Karachi Kings
77,Umar Akmal,7,7,3,335,93,83.75,213,157.27,0,4,0,27,17,2015/2016,Lahore Qalandars
78,Umar Amin,2,2,0,4,4,2.00,10,40.00,0,0,1,0,0,2015/2016,Islamabad United
79,Umar Gul,6,2,0,0,0,0.00,3,0.00,0,0,2,0,0,2015/2016,Quetta Gladiators
80,Usama Mir,7,5,1,13,10,3.25,13,100.00,0,0,2,1,0,2015/2016,Karachi Kings
81,JM Vince,7,7,0,111,44,15.85,106,104.71,0,0,0,8,3,2015/2016,Karachi Kings
82,Wahab Riaz,9,5,3,56,22,28.00,39,143.58,0,0,0,5,1,2015/2016,Peshawar Zalmi
83,SR Watson,6,6,0,194,79,32.33,167,116.16,0,1,0,16,11,2015/2016,Islamabad United
84,MH Wessels,2,2,0,4,3,2.00,11,36.36,0,0,0,0,0,2015/2016,Karachi Kings
85,LJ Wright,6,6,1,169,86*,33.80,134,126.11,0,1,0,19,6,2015/2016,Quetta Gladiators
86,Zafar Gohar,6,2,1,1,1,1.00,4,25.00,0,0,0,0,0,2015/2016,Lahore Qalandars
87,Zia-ul-Haq,3,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Lahore Qalandars
88,Zohaib Khan,7,4,3,18,10*,18.00,13,138.46,0,0,1,1,0,2015/2016,Lahore Qalandars
89,Zulfiqar Babar,10,4,3,22,20*,22.00,14,157.14,0,0,1,1,1,2015/2016,Quetta Gladiators
