Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
534,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,4,4,"Sahibzada Farhan",137
535,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1,3,1,"Kumar Sangakkara",93
536,6,6,14,0,117,1,13516,117,8.35,84,0,0,2,0,2,4,"Shane Watson",16
537,6,6,14,0,117,1,13516,117,8.35,84,0,0,2,0,1,4,"Shane Watson",16
538,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,7,4,"Rahmanullah Gurbaz",318
539,2,2,7,0,64,3,45006,21.33,9.14,14,0,0,0,0,6,5,"Qais Ahmad",222
540,4,1,1,0,9,1,44935,9,9,6,0,0,0,0,5,3,"Daren Sammy",61
541,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,2,"Salman Butt",242
542,11,1,0,0,6,0,NULL,NULL,9,NULL,0,0,7,2,3,5,"Sarfaraz Ahmed",68
543,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,2,6,"Riki Wessels",162
544,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,6,"Riki Wessels",162
545,9,9,36,0,225,13,45033,17.3,6.25,16.6,1,0,1,0,7,2,"Rashid Khan",167
546,1,1,4,0,34,0,NULL,NULL,8.5,NULL,0,0,0,0,6,6,"Qasim Akram",282
547,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,5,5,"Sarfaraz Ahmed",68
548,12,12,44,0,289,9,45010,32.11,6.54,29.4,0,0,2,0,3,4,"Shadab Khan",91
549,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,2,5,"Luke Wright",81
550,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,5,"Luke Wright",81
551,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,6,"Rohail Nazir",135
552,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,6,1,"Rahmanullah Gurbaz",318
553,9,9,28,0,235,8,44971,29.37,8.24,21.3,0,0,4,0,5,4,"Shadab Khan",91
554,7,7,27,0,255,10,45014,25.5,9.44,16.2,0,0,0,0,4,3,"Sameen Gul",159
555,7,7,23,1,197,7,45050,28.14,8.32,20.2,0,1,1,0,3,2,"Shaheen Shah",151
556,6,5,12,0,102,7,45030,14.57,8.27,10.5,1,0,1,0,2,2,"Zafar Gohar",46
557,6,5,12,0,102,7,45030,14.57,8.27,10.5,1,0,1,0,1,2,"Zafar Gohar",46
558,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,7,1,"Rilee Rossouw",130
559,8,8,32,1,175,11,45066,15.9,5.46,17.4,0,1,2,0,6,2,"Rashid Khan",167
560,12,12,46,0,332,17,45034,19.52,7.11,16.4,1,0,2,0,5,2,"Shaheen Shah",151
561,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,3,"Daren Sammy",61
562,9,9,33,2,208,13,45003,16,6.3,15.2,0,0,3,0,3,6,"Shahid Afridi",62
563,3,3,8,0,69,3,13912,23,8.62,16,0,0,0,0,2,2,"Zia-ul-Haq ",47
564,3,3,8,0,69,3,13912,23,8.62,16,0,0,0,0,1,2,"Zia-ul-Haq ",47
565,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,7,5,"Jason Roy",112
566,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,6,4,"Rohail Nazir",135
567,9,8,23,0,178,7,44975,25.42,7.73,19.7,0,0,4,0,5,1,"Shahid Afridi",62
568,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,4,5,"Sarfaraz Ahmed",68
569,10,6,10,0,86,3,44932,28.66,8.6,20,0,0,3,0,3,1,"Shoaib Malik",17
570,7,7,22,0,183,3,12816,61,8.31,44,0,0,1,0,2,2,"Zohaib Khan",48
571,7,7,22,0,183,3,12816,61,8.31,44,0,0,1,0,1,2,"Zohaib Khan",48
