Player_Id,Name,Role,Batting_style,Bowling_style
157,"Mohammad Arif","Opening Batter","Right hand Bat",
158,"Sabbir Rahman","Middle order Batter","Right hand Bat",Legbreak
159,"Sameen Gul",Bowler,"Right hand Bat","Right arm Medium"
160,"Taimoor Sultan","Opening Batter","Right hand Bat",
161,"Umaid Asif","Bowling Allrounder","Right hand Bat","Right arm Medium fast"
162,"Riki Wessels","Middle order Batter","Right hand Bat",
163,"Zhang Yufei",Allrounder,"Right hand Bat","Right arm Medium fast"
164,"Jofra Archer",Bowler,"Right hand Bat","Right arm Fast"
165,"Azam Khan ",Wicketkeeper,"Right hand Bat",
166,"Faraz Ahmed",Bowler,"Right hand Bat","Right arm Medium fast"
167,"Rashid Khan","Bowling Allrounder","Right hand Bat","Legbreak Googly"
168,"Syed Saad","Top order Batter","Left hand Bat","Right arm Medium"
169,"Saud Shakeel","Middle order Batter","Left hand Bat","Left arm Slow"
171,"Ian Bell","Top order Batter","Right hand Bat","Right arm Medium"
172,"Muhammad Musa",Bowler,"Right hand Bat","Right arm Fast medium"
173,"Nasir Nawaz",,"Right hand Bat","Right arm Medium fast"
174,"Wayne Parnell",Bowler,"Left hand Bat","Left arm Medium fast"
175,"Rizwan Hussain",Batter,"Left hand Bat",
176,"Phil Salt ","Wicketkeeper Batter","Right hand Bat","Right arm Offbreak"
177,"Waqas Maqsood",Bowler,"Left hand Bat","Left arm Fast medium"
178,"Zahir Khan",Bowler,"Left hand Bat","Left arm Wrist spin"
180,"Ali Imran","Batting Allrounder","Right hand Bat","Right arm Medium"
181,"Awais Zia","Opening Batter","Left hand Bat","Right arm Offbreak"
182,"Ben Dunk ","Wicketkeeper Batter","Left hand Bat","Right arm Offbreak"
183,"Jaahid Ali",,"Right hand Bat","Right arm Offbreak"
184,"Liam Livingstone","Batting Allrounder","Right hand Bat",Legbreak
185,"Colin Munro","Opening Batter","Left hand Bat","Right arm Medium fast"
186,"Sikandar Raza","Batting Allrounder","Right hand Bat","Right arm Offbreak"
187,"Aaron Summers",,"Right hand Bat","Right arm Fast"
188,"Umer Khan",Bowler,"Left hand Bat","Slow Left arm Orthodox"
190,"Agha Salman",Allrounder,"Right hand Bat","Right arm Offbreak"
191,"Aizaz Cheema",Bowler,"Right hand Bat","Right arm Medium fast"
192,"Corey Anderson","Batting Allrounder","Left hand Bat","Left arm Medium fast"
193,"Carlos Brathwaite",Allrounder,"Right hand Bat","Right arm Fast medium"
194,"AB de","Wicketkeeper Batter","Right hand Bat","Right arm Medium"
195,"Gauhar Ali",,"Right hand Bat",
196,"Haris Rauf",Bowler,"Right hand Bat","Right arm Fast"
197,"Sandeep Lamichhane",Bowler,"Right hand Bat","Legbreak Googly"
198,"Mohammad Imran",Allrounder,"Right hand Bat","Right arm Medium"
199,"Brendan Taylor ","Wicketkeeper Batter","Right hand Bat","Right arm Offbreak"
200,"Umair Masood",,"Right hand Bat",
201,"Hardus Viljoen",Bowler,"Right hand Bat","Right arm Fast"
202,"Jamal Anwar",,"Right hand Bat",
203,"Wayne Madsen",Batter,"Right hand Bat","Right arm Offbreak"
204,"Nabi Gul",,"Right hand Bat",
205,"Waqar Salamkheil",Bowler,"Right hand Bat","Left arm Wrist spin"
206,"Ahsan Ali","Top order Batter","Right hand Bat",Legbreak
207,"Danish Aziz",Allrounder,"Left hand Bat","Slow Left arm Orthodox"
208,"Fawad Ahmed",Bowler,"Right hand Bat","Legbreak Googly"
209,"Harry Gurney",Bowler,"Right hand Bat","Left arm Fast medium"
210,"Jalat Khan",,"Left hand Bat","Slow Left arm Orthodox"
211,"Mohammad Hasnain",Bowler,"Right hand Bat","Right arm Fast"
212,"Naseem Shah",Bowler,"Right hand Bat","Right arm Fast"
213,"Ali Shafique",Bowler,"Right hand Bat","Right arm Medium"
214,"Johnson Charles ","Wicketkeeper Batter","Right hand Bat",
215,"Dan Christian",Allrounder,"Right hand Bat","Right arm Fast medium"
216,"Laurie Evans",Batter,"Right hand Bat","Right arm Offbreak"
217,"Mohammad Abbas",Bowler,"Right hand Bat","Right arm Medium fast"
218,"Mohammad Ilyas","Opening Batter","Left hand Bat","Right arm Offbreak"
219,"Mohammad Junaid",,"Left hand Bat","Slow Left arm Orthodox"
220,"Tom Moores ","Wicketkeeper Batter","Left hand Bat",
221,"Nauman Ali",Bowler,"Left hand Bat","Slow Left arm Orthodox"
222,"Qais Ahmad",Bowler,"Right hand Bat",Legbreak
223,"Shakeel Ansar","Wicketkeeper Batter","Right hand Bat",
224,"Shan Masood","Opening Batter","Left hand Bat","Right arm Medium fast"
225,"Umar Siddiq","Opening Batter","Left hand Bat","Right arm Offbreak"
226,"Steven Smith","Middle order Batter","Right hand Bat","Legbreak Googly"
228,"Ahmed Safi","Bowling Allrounder","Left hand Bat","Slow Left arm Orthodox"
229,"Akif Javed",Bowler,"Right hand Bat","Left arm Medium fast"
230,"Dale Steyn",Bowler,"Right hand Bat","Right arm Fast"
231,"Rassie van","Top order Batter","Right hand Bat",Legbreak
232,"Ali Khan",Bowler,"Right hand Bat","Right arm Fast medium"
233,"Arshad Iqbal",Bowler,"Right hand Bat","Right arm Medium fast"
234,"Sherfane Rutherford","Middle order Batter","Left hand Bat","Right arm Fast medium"
235,"Dan Lawrence","Middle order Batter","Right hand Bat","Right arm Offbreak"
236,"Liam Plunkett",Bowler,"Right hand Bat","Right arm Fast"
238,"Dilbar Hussain",Bowler,"Right hand Bat","Right arm Fast medium"
239,"Muhammad Faizan",Batter,"Right hand Bat","Right arm Medium fast"
240,"Seekkuge Prasanna",Allrounder,"Right hand Bat",Legbreak
241,"Raja Farzan",Bowler,"Left hand Bat","Legbreak Googly"
242,"Salman Butt",Batter,"Left hand Bat","Right arm Offbreak"
