Player_team_id,Season_Id,Team_Id,age,Player_id
419,4,5,"28y 243d",44
420,4,5,"37y 221d",16
421,4,5,"15y 343d",212
422,4,1,"36y 357d",17
423,4,1,"22y 69d",213
424,4,1,"30y 10d",214
425,4,1,"35y 265d",215
426,4,1,"32y 314d",139
427,4,1,"31y 104d",216
428,4,1,"25y 115d",110
429,4,1,"27y 314d",39
430,4,1,"29y 31d",55
431,4,1,"28y 320d",217
432,4,1,"22y 213d",218
433,4,1,"36y 232d",10
434,4,1,"29y 176d",10
435,4,1,"16y 309d",219
436,4,1,"22y 142d",220
437,4,1,"32y 109d",221
438,4,1,"18y 162d",222
439,4,1,"30y 270d",13
440,4,1,"38y 329d",62
441,4,1,"40y 74d",223
442,4,1,"29y 102d",224
443,4,1,"26y 25d",225
444,4,1,"27y 316d",32
445,4,1,"23y 114d",89
446,4,1,"29y 236d",226
447,5,4,"21y 63d",227
448,5,4,"21y 280d",228
449,5,4,"19y 57d",229
450,5,4,"24y 210d",1
451,5,4,"28y 66d",85
452,5,4,"25y 324d",132
453,5,4,"23y 297d",88
454,5,4,"34y 156d",140
455,5,4,"32y 94d",57
456,5,4,"19y 100d",172
457,5,4,"32y 270d",185
458,5,4,"23y 224d",175
459,5,4,"38y 227d",136
460,5,4,"28y 49d",12
461,5,4,"21y 156d",113
462,5,4,"23y 100d",176
463,5,4,"36y 162d",230
464,5,4,"24y 308d",46
465,5,4,"30y 302d",231
466,5,6,"30y 353d",179
467,5,6,"29y 163d",49
468,5,6,"28y 358d",232
469,5,6,"18y 345d",233
470,5,6,"33y 96d",181
471,5,6,"25y 52d",2
472,5,6,"30y 208d",37
473,5,6,"30y 337d",133
474,5,6,"29y 94d",20
475,5,6,"31y 63d",67
476,5,6,"27y 237d",23
477,5,6,"27y 188d",40
478,5,6,"30y 129d",174
479,5,6,"21y 113d",234
480,5,6,"30y 114d",14
481,5,6,"35y 220d",161
482,5,6,"20y 123d",188
483,5,6,"23y 348d",31
484,5,6,"34y 156d",138
