Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
93,319,"Shahnawaz Dahani",11,2,2,6,6,Yes,NULL,9,66.66,0,0,0,1,0,7,1,NULL
94,224,"Shan Masood",12,12,0,478,88,No,39.83,346,138.15,0,4,0,54,10,7,1,NULL
95,14,"Sharjeel Khan",10,10,0,231,60,No,23.1,177,130.5,0,1,1,21,14,7,6,NULL
96,17,"Shoaib Malik",11,11,2,401,58,No,44.55,292,137.32,0,3,0,31,14,7,3,NULL
97,346,"Will Smeed",6,6,0,240,99,No,40,175,137.14,0,2,0,28,8,7,5,NULL
98,43,"Sohaib Maqsood",7,7,1,139,30,No,23.16,126,110.31,0,0,0,11,6,7,1,NULL
99,152,"Sohail Akhtar",2,2,0,34,19,No,17,28,121.42,0,0,0,2,2,7,2,NULL
100,29,"Sohail Khan",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,NULL
101,30,"Sohail Tanvir",7,5,1,27,13,No,6.75,32,84.37,0,0,1,1,1,7,5,NULL
102,274,"Paul Stirling",6,6,0,200,58,No,33.33,113,176.99,0,2,0,24,10,7,4,NULL
103,331,"Jordan Thompson",2,1,0,0,0,No,0,1,0,0,0,1,0,0,7,6,NULL
104,161,"Umaid Asif",8,3,2,12,10,No,12,14,85.71,0,0,0,2,0,7,6,NULL
105,44,"Umar Akmal",5,5,0,101,50,No,20.2,58,174.13,0,1,0,5,10,7,5,NULL
106,114,"Usman Qadir",7,4,3,25,12,No,25,15,166.66,0,0,0,1,2,7,3,NULL
107,104,"Usman Shinwari",3,3,2,15,8,Yes,15,19,78.94,0,0,0,0,1,7,6,NULL
108,32,"James Vince",6,6,1,107,49,Yes,21.4,91,117.58,0,0,3,11,2,7,5,NULL
109,66,"Wahab Riaz",10,7,2,7,2,Yes,1.4,17,41.17,0,0,2,0,0,7,3,NULL
110,177,"Waqas Maqsood",8,2,0,1,1,No,0.5,6,16.66,0,0,1,0,0,7,4,NULL
111,143,"David Wiese",13,11,5,168,31,No,28,91,184.61,0,0,1,8,12,7,2,NULL
112,353,"David Willey",8,4,3,28,28,Yes,28,33,84.84,0,0,1,1,1,7,1,NULL
113,347,"Luke Wood",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,5,NULL
114,14,"Sharjeel Khan",4,4,0,87,35,No,21.75,57,152.63,0,0,0,11,4,7,3,NULL
115,46,"Zafar Gohar",1,1,0,9,9,No,9,9,100,0,0,0,0,0,7,4,NULL
116,310,"Zahid Mahmood",2,1,1,3,3,Yes,NULL,9,33.33,0,0,0,0,0,7,4,NULL
117,178,"Zahir Khan",2,1,1,0,0,Yes,NULL,1,0,0,0,0,0,0,7,4,NULL
118,340,"Zaman Khan",13,3,3,1,1,Yes,NULL,5,20,0,0,0,0,0,7,2,NULL
